"condition","age_band","sex","prevalence","ci_lower","ci_upper"
"liver","30-34","Female",0.0161229981674576,0.00665763646148114,0.025588359873434
"liver","35-39","Female",0.0279860574130984,0.0117215829357312,0.0442505318904656
"liver","40-44","Female",0.0359585634447489,0.0185321868004016,0.0533849400890962
"liver","45-49","Female",0.0432638849905147,0.0239574106183243,0.0625703593627051
"liver","50-54","Female",0.0556553586433714,0.0303438204631356,0.0809668968236073
"liver","55-59","Female",0.0736638917902694,0.0466792669826543,0.100648516597885
"liver","60-64","Female",0.0717134693118074,0.0466221019772688,0.096804836646346
"liver","65-69","Female",0.0896924485665133,0.0597421260733512,0.119642771059675
"liver","70-74","Female",0.0698546488932192,0.0453369184323777,0.0943723793540608
"liver","75-79","Female",0.0276759480659771,0.00621521713490673,0.0491366789970474
"liver","80+","Female",0.035102170958332,0.0167449786214577,0.0534593632952063
"liver","18-24","Male",0.0104754352982818,-0.000653794006110148,0.0216046646026737
"liver","25-29","Male",0.0125424962576812,0.00399415528888865,0.0210908372264738
"liver","30-34","Male",0.0285483287211471,0.0126310977843036,0.0444655596579907
"liver","35-39","Male",0.0230446343970525,0.010989987917123,0.0350992808769821
"liver","40-44","Male",0.0440439665739553,0.0143710239978554,0.0737169091500552
"liver","45-49","Male",0.0466231363940101,0.0250716533482095,0.0681746194398108
"liver","50-54","Male",0.0755297802086015,0.0450481202557499,0.106011440161453
"liver","55-59","Male",0.0885123526304138,0.0624506689387165,0.114574036322111
"liver","60-64","Male",0.0974360317047828,0.0661201880301654,0.1287518753794
"liver","65-69","Male",0.0733561683479527,0.0440567242904893,0.102655612405416
"liver","70-74","Male",0.071477862720471,0.0417700913539994,0.101185634086943
"liver","75-79","Male",0.0469797894126443,0.0129407457990986,0.08101883302619
"liver","80+","Male",0.028459455730255,0.013101543971722,0.043817367488788
"liver","18-24","Both",0.00748148372086597,0.00107418750339577,0.0138887799383362
"liver","25-29","Both",0.0176380631790599,0.0082344622481803,0.0270416641099396
"liver","30-34","Both",0.0224304111724513,0.0134654452503922,0.0313953770945104
"liver","35-39","Both",0.0256205071528121,0.0156382796668442,0.0356027346387799
"liver","40-44","Both",0.0399167736477498,0.0235930911738064,0.0562404561216932
"liver","45-49","Both",0.0449182704800756,0.0286563944208829,0.0611801465392683
"liver","50-54","Both",0.0649106970796044,0.0466972419528846,0.0831241522063243
"liver","55-59","Both",0.081191990284628,0.0635073549431619,0.098876625626094
"liver","60-64","Both",0.0841676094066032,0.0634350517000078,0.104900167113199
"liver","65-69","Both",0.0821370334246442,0.0624743033237076,0.101799763525581
"liver","70-74","Both",0.0706144110623439,0.0504080479267343,0.0908207741979534
"liver","75-79","Both",0.0358632491273797,0.0172536197507836,0.0544728785039758
"liver","80+","Both",0.0324362310099238,0.0202900926647653,0.0445823693550824
"cancer","18-24","Female",0.00975657549095865,0.00116895250425369,0.0183441984776636
"cancer","25-29","Female",0.0142528344791025,0.00309255046326733,0.0254131184949376
"cancer","30-34","Female",0.0255293078697412,0.011669937918064,0.0393886778214185
"cancer","35-39","Female",0.05151987729797,0.0296749668488237,0.0733647877471163
"cancer","40-44","Female",0.0544274198070349,0.0324494585357839,0.0764053810782859
"cancer","45-49","Female",0.077220118719012,0.0481076492196121,0.106332588218412
"cancer","50-54","Female",0.105218984493813,0.0667637656899001,0.143674203297726
"cancer","55-59","Female",0.121585192557826,0.0918733975338962,0.151296987581755
"cancer","60-64","Female",0.197958380889279,0.149004027687882,0.246912734090677
"cancer","65-69","Female",0.22846779907809,0.18293183578626,0.27400376236992
"cancer","70-74","Female",0.278086541840426,0.227783534322261,0.328389549358591
"cancer","75-79","Female",0.305262377244805,0.241281022413036,0.369243732076573
"cancer","80+","Female",0.354239821747224,0.309675829826194,0.398803813668254
"cancer","18-24","Male",0.00703726262612831,-0.000616083258017075,0.0146906085102737
"cancer","25-29","Male",0.00863642585086004,-0.00254084296077053,0.0198136946624906
"cancer","30-34","Male",0.0206011498504778,0.00434606251178261,0.036856237189173
"cancer","35-39","Male",0.041356385328675,0.0122505176585799,0.0704622529987701
"cancer","40-44","Male",0.0112704569313918,-0.000294602792648179,0.0228355166554317
"cancer","45-49","Male",0.0410532854826383,0.0192385094202257,0.0628680615450509
"cancer","50-54","Male",0.062080434447773,0.0336084560461889,0.0905524128493572
"cancer","55-59","Male",0.0943260628214072,0.0599347191012462,0.128717406541568
"cancer","60-64","Male",0.152575921664598,0.113141596651581,0.192010246677614
"cancer","65-69","Male",0.24052200566347,0.193050349107417,0.287993662219524
"cancer","70-74","Male",0.331606353221067,0.28868679291408,0.374525913528053
"cancer","75-79","Male",0.413631908285534,0.339326089362006,0.487937727209062
"cancer","80+","Male",0.439364418001261,0.39753789813288,0.481190937869641
"cancer","18-24","Both",0.00838033489626604,0.00269146483889281,0.0140692049536393
