age_years,External,Cardiovascular,Cancer,Neurological,Other,Infectious,Diabetes & kidney disease,Chronic respiratory,Digestive
49,0.28419504468831314,0.2620205905645435,0.15341101934607987,0.02262699400384659,0.07976015386355922,0.0384658898065392,0.06527887770109742,0.019346079873288832,0.07489535015273222
50,0.27599364069952304,0.26073131955484896,0.16142024377318495,0.025331213566507683,0.07652358240593535,0.037943826179120295,0.06422893481717011,0.019925808161102277,0.07790143084260731
51,0.2565037918786599,0.26216761063645966,0.17327445521743304,0.02351924738408371,0.07564557934146107,0.03686282038974753,0.07305366228280695,0.0223672842469041,0.07660554862244408
52,0.23959218351741715,0.2819031435853866,0.17145284621920137,0.022344944774851317,0.07612574341546305,0.038742565845369586,0.07128292268479185,0.025998300764655907,0.0725573491928632
53,0.2203657710544141,0.28418755174230453,0.1798750658538421,0.025739444569880334,0.0755625799653797,0.037856551516519905,0.06916534958982463,0.027319936780311582,0.07992774892752315
54,0.20636430138990491,0.2836869056327725,0.19451353328456475,0.027944403803950257,0.07359180687637161,0.040965618141916606,0.06927578639356255,0.02852962692026335,0.07512801755669349
55,0.19995851483094793,0.29205559012652976,0.1962939915646823,0.02530595312175897,0.07121620687270967,0.03892691696051995,0.06803567724538477,0.03118301873746802,0.07702413053999861
56,0.19067824703308361,0.2848239740104754,0.2099051912749453,0.024796128091228536,0.06683020619240204,0.041039580985215145,0.07193529138765498,0.035271497712656634,0.07471988331233839
57,0.16956998416372274,0.29528566207820683,0.21360701668899987,0.026312583749543185,0.07138506517237178,0.04099159459130223,0.07211597027652576,0.037276160311852845,0.07345596296747472
58,0.1547145116431259,0.295031902710367,0.22855428914217157,0.026067513769973277,0.06751376997327807,0.04270055079893112,0.07018596280743851,0.04231880896547963,0.07291269018923488
59,0.1452689628482972,0.2944078947368421,0.23863196594427244,0.03125,0.06646671826625387,0.04344040247678019,0.06680534055727554,0.04387577399380805,0.06985294117647059
