sex,cause,age,val,upper,lower
Both,Substance use disorders,11,409.84703292396887,650.5959019367568,240.9336529942735
Both,Substance use disorders,12,588.56262328607,914.22762785076,353.56984204148
Both,Substance use disorders,13,886.8359519229078,1288.0867029880615,592.1099525191719
Both,Substance use disorders,14,1346.4678219755544,1813.887589585192,1000.1870283139592
Both,Substance use disorders,15,1865.4811106275993,2388.0535260646375,1472.1030241319684
Both,Substance use disorders,16,2341.8986950626313,2907.0077508488816,1902.1598946793265
Both,Substance use disorders,17,2673.74345246424,3267.1735023604097,2184.65959466216
Both,Substance use disorders,18,2881.817504801834,3488.774810407291,2343.5850380937172
Both,Substance use disorders,19,3058.204501355978,3669.832510867237,2475.9834546490733
Both,Substance use disorders,20,3207.849610277,3823.465051267194,2585.7532725270958
Both,Substance use disorders,21,3335.6979997152253,3962.790879134109,2676.7929199266523
Both,Substance use disorders,22,3446.69483782098,4100.92844199493,2753.0008250466103
Both,Substance use disorders,23,3554.2707660450096,4255.985252943711,2824.206388567408
Both,Substance use disorders,24,3660.08061840449,4420.503384547599,2892.6411639729095
Both,Substance use disorders,25,3751.4058518993934,4569.253123543178,2950.8068086671183
Both,Substance use disorders,26,3815.52792352969,4677.004756667031,2991.2049800540403
Both,Substance use disorders,27,3839.7282902953502,4718.528570655741,3006.33733553768
Both,Substance use disorders,28,3836.695350183879,4713.541949753932,3001.894612554677
Both,Substance use disorders,29,3828.024136989631,4699.499586943663,2989.659640711853
Both,Substance use disorders,30,3814.356061422858,4677.777732067667,2971.2722156684795
Both,Substance use disorders,31,3796.332534193811,4649.752634968674,2948.3721330838307
Both,Substance use disorders,32,3774.59496601274,4616.80054548942,2922.59918861718
Both,Substance use disorders,33,3717.7922668870597,4549.003358186614,2884.4134017111464
Both,Substance use disorders,34,3609.4510275294774,4430.551761127722,2826.9661176906243
Both,Substance use disorders,35,3472.529179708185,4283.985194421625,2755.934121038296
Both,Substance use disorders,36,3329.984655191372,4131.843098177196,2676.9941962368466
Both,Substance use disorders,37,3204.77538574723,3996.66491250331,2595.8231277689597
Both,Substance use disorders,38,3096.8068792038976,3879.596939875913,2503.255759524881
Both,Substance use disorders,39,2990.6873052238366,3765.540055233044,2393.709521545259
Both,Substance use disorders,40,2886.4285883267216,3652.665557376719,2278.2350775383816
Both,Substance use disorders,41,2784.042653032228,3539.1447451089552,2167.8830912125363
Both,Substance use disorders,42,2683.54142386003,3423.1489172317697,2073.70422627601
Both,Substance use disorders,43,2584.1324989690943,3301.289208391205,1997.0605896901832
Both,Substance use disorders,44,2485.7270984678175,3174.749408759287,1929.0518039473295
Both,Substance use disorders,45,2389.392579800023,3048.559800427005,1865.3348060520775
Both,Substance use disorders,46,2296.1963004095333,2927.750665485353,1801.5665330090546
Both,Substance use disorders,47,2207.20561774017,2817.35228602532,1733.40392182289
Both,Substance use disorders,48,2122.164673574922,2718.7699092320718,1657.6116547348058
Both,Substance use disorders,49,2040.068435941159,2627.752973227165,1576.9977646400998
Both,Substance use disorders,50,1960.8605016492797,2540.8480465061834,1496.284214524513
Both,Substance use disorders,51,1884.484467509681,2454.601697564711,1420.1929673737861
Both,Substance use disorders,52,1810.88393033276,2365.56049489833,1353.44598617366
Both,Substance use disorders,53,1740.9567341481766,2271.708134328127,1297.7793990798352
Both,Substance use disorders,54,1674.5112286554906,2175.3400980249926,1248.996011089293
Both,Substance use disorders,55,1609.8567691699493,2079.47063400922,1202.9178004496966
Both,Substance use disorders,56,1545.3027110068,1987.1139903010983,1155.3667454087079
Both,Substance use disorders,57,1479.1584094812902,1901.28441492092,1102.16482421399
Both,Substance use disorders,58,1411.3282370298061,1824.6163906619802,1038.2919512715157
Both,Substance use disorders,59,1342.9310636113562,1754.6105339660203,966.0571033935307
Both,Substance use disorders,60,1274.0979908251202,1686.5802933260015,892.2758524371069
Both,Substance use disorders,61,1204.9601202702781,1615.839117234884,823.7637702593161
Both,Substance use disorders,62,1135.64855354601,1537.7004541856302,767.33642871723
Both,Substance use disorders,63,1063.7008665926685,1444.6373735048403,723.1850683704856
Both,Substance use disorders,64,989.0271538423078,1339.038374218224,685.1093608765552
Both,Substance use disorders,65,915.3172946316599,1231.090049367406,650.337524739263
Both,Substance use disorders,66,846.2611682974566,1130.9789919940097,616.0977784624331
Both,Substance use disorders,67,785.54865417643,1048.8917951396602,579.61834054989
Both,Substance use disorders,68,731.053656489969,982.6200702017321,537.2661229329884
Both,Substance use disorders,69,679.2948299333108,922.8661589971925,490.878482159775
Both,Substance use disorders,70,631.9291795539601,869.1827501970528,445.8893036591125
Both,Substance use disorders,71,590.6137103994217,821.1225324723249,407.7324728598633
Both,Substance use disorders,72,557.0054275172,778.23819449402,381.84187519089
Both,Substance use disorders,73,529.3656157138555,738.9628257399431,365.91408706494565
Both,Substance use disorders,74,504.83788649759526,702.489966022573,353.27275810864467
Both,Substance use disorders,75,483.4027349683943,669.5129795149323,342.79238357164195
Both,Substance use disorders,76,465.0406562262276,640.7252303900437,333.34745870359217
