Prevalence,Rate,Parkinson's disease,United States of America,10-14 years,Both sexes,2023,0,0,0,
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,40-44 years,Females,2023,24.41,39.28,11.88
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,45-49 years,Females,2023,173.39,253.11,108.68
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,50-54 years,Females,2023,411.41,541.43,303.31
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,55-59 years,Females,2023,703.79,872.88,541.41
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,60-64 years,Females,2023,"1,212.74","1,501.89",952.73
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,65-69 years,Females,2023,"2,287.59","2,914.64","1,771.61"
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,70-74 years,Females,2023,"4,346.98","5,486.25","3,318.92"
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,75-79 years,Females,2023,"8,396.59","10,733.69","6,450.89"
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,All ages,Females,2023,"1,793.16","2,077.21","1,509.57"
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,80-84 years,Females,2023,"15,115.08","19,344.74","11,630.85"
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,85-89 years,Females,2023,"23,285.23","29,311.08","18,091.45"
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,90-94 years,Females,2023,"30,951.87","37,962.22","23,870.89"
All Population,Prevalence,Rate,Alzheimer's disease and other dementias,United States of America,95+ years,Females,2023,"36,564.33","47,311.56","27,674.41"
All Population,Prevalence,Rate,Parkinson's disease,United States of America,<5 years,Females,2023,0,0,0
All Population,Prevalence,Rate,Parkinson's disease,United States of America,5-9 years,Females,2023,0,0,0
All Population,Prevalence,Rate,Parkinson's disease,United States of America,10-14 years,Females,2023,0,0,0
All Population,Prevalence,Rate,Parkinson's disease,United States of America,15-19 years,Females,2023,0,0,0
All Population,Prevalence,Rate,Parkinson's disease,United States of America,20-24 years,Females,2023,0.1,0.17,0.04
All Population,Prevalence,Rate,Parkinson's disease,United States of America,25-29 years,Females,2023,0.68,1.2,0.26
All Population,Prevalence,Rate,Parkinson's disease,United States of America,30-34 years,Females,2023,1.92,2.99,1.03
All Population,Prevalence,Rate,Parkinson's disease,United States of America,35-39 years,Females,2023,4.14,5.5,2.92
All Population,Prevalence,Rate,Parkinson's disease,United States of America,40-44 years,Females,2023,8.57,11.12,6.5
All Population,Prevalence,Rate,Parkinson's disease,United States of America,45-49 years,Females,2023,19.56,23.73,16.07
All Population,Prevalence,Rate,Parkinson's disease,United States of America,50-54 years,Females,2023,40.53,48.77,33.23
All Population,Prevalence,Rate,Parkinson's disease,United States of America,55-59 years,Females,2023,82.82,97.83,69.7
All Population,Prevalence,Rate,Parkinson's disease,United States of America,60-64 years,Females,2023,182.45,212.54,152.7
All Population,Prevalence,Rate,Parkinson's disease,United States of America,65-69 years,Females,2023,465.07,545.36,395.67
All Population,Prevalence,Rate,Parkinson's disease,United States of America,70-74 years,Females,2023,933.07,"1,092.22",791.29
All Population,Prevalence,Rate,Parkinson's disease,United States of America,75-79 years,Females,2023,"1,494.52","1,727.77","1,299.65"
All Population,Prevalence,Rate,Parkinson's disease,United States of America,All ages,Females,2023,243.63,277.22,216.73
All Population,Prevalence,Rate,Parkinson's disease,United States of America,80-84 years,Females,2023,"2,002.14","2,294.70","1,683.10"
All Population,Prevalence,Rate,Parkinson's disease,United States of America,85-89 years,Females,2023,"2,161.02","2,475.57","1,850.98"
All Population,Prevalence,Rate,Parkinson's disease,United States of America,90-94 years,Females,2023,"1,975.76","2,302.55","1,640.25"
All Population,Prevalence,Rate,Parkinson's disease,United States of America,95+ years,Females,2023,"1,616.96","1,993.63","1,244.27"
All Population,Prevalence,Rate,Idiopathic epilepsy,United States of America,<5 years,Females,2023,198.56,285.29,118.57
