population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,102,United States of America,1,Male,15,50-54 years,526,Digestive diseases,3,Rate,2023,45.03198789646417,48.551971861854696,41.395532796247345
1,All Population,1,Deaths,102,United States of America,2,Female,15,50-54 years,526,Digestive diseases,3,Rate,2023,27.760572131332715,30.250460593371823,25.531307654128433
1,All Population,1,Deaths,102,United States of America,3,Both,15,50-54 years,526,Digestive diseases,3,Rate,2023,36.386702310593584,38.50918125672777,34.216657986400556
1,All Population,1,Deaths,102,United States of America,1,Male,16,55-59 years,526,Digestive diseases,3,Rate,2023,74.94927691513273,81.45270696997785,68.37246210252277
1,All Population,1,Deaths,102,United States of America,2,Female,16,55-59 years,526,Digestive diseases,3,Rate,2023,44.29597138910799,49.04239718881275,40.358503492045216
1,All Population,1,Deaths,102,United States of America,3,Both,16,55-59 years,526,Digestive diseases,3,Rate,2023,59.46350047468477,63.19320595194796,55.66005309940192
1,All Population,1,Deaths,102,United States of America,1,Male,17,60-64 years,526,Digestive diseases,3,Rate,2023,94.26329760366663,102.18383334070172,86.10872258246962
1,All Population,1,Deaths,102,United States of America,2,Female,17,60-64 years,526,Digestive diseases,3,Rate,2023,57.97411469672193,63.98827940434673,52.68916572515128
1,All Population,1,Deaths,102,United States of America,3,Both,17,60-64 years,526,Digestive diseases,3,Rate,2023,75.67924285260081,80.37349137301395,70.7766885830137
1,All Population,1,Deaths,102,United States of America,1,Male,18,65-69 years,526,Digestive diseases,3,Rate,2023,108.92649590225449,118.06779892493833,99.03809437473103
1,All Population,1,Deaths,102,United States of America,2,Female,18,65-69 years,526,Digestive diseases,3,Rate,2023,70.33450361940369,78.85711336448479,62.29908952170988
1,All Population,1,Deaths,102,United States of America,3,Both,18,65-69 years,526,Digestive diseases,3,Rate,2023,88.75058801313112,95.20556497022969,82.4717374187737
1,All Population,1,Deaths,102,United States of America,1,Male,19,70-74 years,526,Digestive diseases,3,Rate,2023,120.9264783606701,131.16123020378552,109.83964442567232
1,All Population,1,Deaths,102,United States of America,2,Female,19,70-74 years,526,Digestive diseases,3,Rate,2023,92.38065376039316,103.47265558223557,81.26063661004612
1,All Population,1,Deaths,102,United States of America,3,Both,19,70-74 years,526,Digestive diseases,3,Rate,2023,105.65379279392948,113.23867453283506,96.1883877890436
1,All Population,1,Deaths,102,United States of America,1,Male,20,75-79 years,526,Digestive diseases,3,Rate,2023,147.48937527659547,160.88424501438246,132.13270607247094
1,All Population,1,Deaths,102,United States of America,2,Female,20,75-79 years,526,Digestive diseases,3,Rate,2023,127.72839077182499,145.38695841181985,109.85492169674342
1,All Population,1,Deaths,102,United States of America,3,Both,20,75-79 years,526,Digestive diseases,3,Rate,2023,136.69460590762054,148.74927353864473,122.30078217506761
1,All Population,1,Deaths,102,United States of America,1,Male,30,80-84 years,526,Digestive diseases,3,Rate,2023,206.16185815040166,228.9696778226634,178.68054926235104
1,All Population,1,Deaths,102,United States of America,2,Female,30,80-84 years,526,Digestive diseases,3,Rate,2023,189.51609103676304,222.9353857217256,150.8203615593619
1,All Population,1,Deaths,102,United States of America,3,Both,30,80-84 years,526,Digestive diseases,3,Rate,2023,196.66562696529797,221.70662540921407,161.76914617746135
1,All Population,1,Deaths,102,United States of America,1,Male,31,85-89 years,526,Digestive diseases,3,Rate,2023,318.7600422206443,362.8680130965921,265.4367577795885
1,All Population,1,Deaths,102,United States of America,2,Female,31,85-89 years,526,Digestive diseases,3,Rate,2023,305.3452373765227,368.5606068184247,223.02756992624356
1,All Population,1,Deaths,102,United States of America,3,Both,31,85-89 years,526,Digestive diseases,3,Rate,2023,310.65284412645354,362.2083737378402,238.97886275457716
1,All Population,1,Deaths,102,United States of America,1,Male,32,90-94 years,526,Digestive diseases,3,Rate,2023,516.3258827791784,596.2605131579604,409.2481419414291
1,All Population,1,Deaths,102,United States of America,2,Female,32,90-94 years,526,Digestive diseases,3,Rate,2023,505.6172007987535,622.2115388693186,362.07442909348975
1,All Population,1,Deaths,102,United States of America,3,Both,32,90-94 years,526,Digestive diseases,3,Rate,2023,509.26248817825604,606.5292531013623,380.6804446403519
1,All Population,1,Deaths,102,United States of America,1,Male,235,95+ years,526,Digestive diseases,3,Rate,2023,673.9470545507606,802.136177366374,492.3141422815118
1,All Population,1,Deaths,102,United States of America,2,Female,235,95+ years,526,Digestive diseases,3,Rate,2023,746.7945251653422,926.4733244479671,530.4945570246349
1,All Population,1,Deaths,102,United States of America,3,Both,235,95+ years,526,Digestive diseases,3,Rate,2023,726.9575246190053,877.4743165681357,525.9594361973056
1,All Population,1,Deaths,102,United States of America,1,Male,1,<5 years,542,Neurological disorders,3,Rate,2023,2.214595094056929,2.542361863616298,1.8758393629924914
1,All Population,1,Deaths,102,United States of America,2,Female,1,<5 years,542,Neurological disorders,3,Rate,2023,2.2101599830622862,2.6388343860339196,1.8108530356979382
1,All Population,1,Deaths,102,United States of America,3,Both,1,<5 years,542,Neurological disorders,3,Rate,2023,2.2124264731650247,2.5290702036942423,1.9513668046680506
1,All Population,1,Deaths,102,United States of America,1,Male,6,5-9 years,542,Neurological disorders,3,Rate,2023,0.6728253398783117,0.780171623576969,0.5684081866428065
1,All Population,1,Deaths,102,United States of America,2,Female,6,5-9 years,542,Neurological disorders,3,Rate,2023,0.7349707905121923,0.8861114021705584,0.6114044170598429
1,All Population,1,Deaths,102,United States of America,3,Both,6,5-9 years,542,Neurological disorders,3,Rate,2023,0.7031845305889448,0.7984283087674858,0.6279942037528701
1,All Population,1,Deaths,102,United States of America,1,Male,7,10-14 years,542,Neurological disorders,3,Rate,2023,0.9448978669641512,1.0980617726797606,0.7942810011024573
1,All Population,1,Deaths,102,United States of America,2,Female,7,10-14 years,542,Neurological disorders,3,Rate,2023,0.8255829571199395,0.9969657247998229,0.6777471024065556
1,All Population,1,Deaths,102,United States of America,3,Both,7,10-14 years,542,Neurological disorders,3,Rate,2023,0.8867140536040846,1.012945759470239,0.7879021437338882
1,All Population,1,Deaths,102,United States of America,1,Male,8,15-19 years,542,Neurological disorders,3,Rate,2023,1.7845937593392651,2.0693042364392915,1.531694281834402
1,All Population,1,Deaths,102,United States of America,2,Female,8,15-19 years,542,Neurological disorders,3,Rate,2023,0.9556980107746205,1.1373012822963884,0.8036837878828414
1,All Population,1,Deaths,102,United States of America,3,Both,8,15-19 years,542,Neurological disorders,3,Rate,2023,1.380160823521918,1.5452239085123505,1.228589768193563
1,All Population,1,Deaths,102,United States of America,1,Male,9,20-24 years,542,Neurological disorders,3,Rate,2023,2.260432266166863,2.606348037041992,1.936765805549575
