population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Deaths,United States of America,Both,30-34 years,Skin and subcutaneous diseases,Rate,2023,0.24119368651211828,0.2809021788436379,0.20195795782334028
All Population,Deaths,United States of America,Male,35-39 years,Skin and subcutaneous diseases,Rate,2023,0.45641488137711683,0.5556895936695083,0.3545340898634084
All Population,Deaths,United States of America,Female,35-39 years,Skin and subcutaneous diseases,Rate,2023,0.3656983257386076,0.44632672081878316,0.28778212308012785
All Population,Deaths,United States of America,Both,35-39 years,Skin and subcutaneous diseases,Rate,2023,0.4116462963804939,0.4765503536944118,0.34730823890845924
All Population,Deaths,United States of America,Male,40-44 years,Skin and subcutaneous diseases,Rate,2023,0.8107380114446749,0.9990653673620087,0.6330874373979091
All Population,Deaths,United States of America,Female,40-44 years,Skin and subcutaneous diseases,Rate,2023,0.5375971534999302,0.6473513138427026,0.4283714950825197
All Population,Deaths,United States of America,Both,40-44 years,Skin and subcutaneous diseases,Rate,2023,0.6751386275962192,0.7868200071882172,0.5659698450590234
All Population,Deaths,United States of America,Male,45-49 years,Skin and subcutaneous diseases,Rate,2023,1.1911931830440978,1.4529107837761288,0.9452386680174595
All Population,Deaths,United States of America,Female,45-49 years,Skin and subcutaneous diseases,Rate,2023,0.8356825777609568,0.9931045739525772,0.6819556814418986
All Population,Deaths,United States of America,Both,45-49 years,Skin and subcutaneous diseases,Rate,2023,1.013612091208311,1.1841349123369265,0.8594068672233074
All Population,Deaths,United States of America,Male,50-54 years,Skin and subcutaneous diseases,Rate,2023,1.7574048613968938,2.0746256637572285,1.4498610587102378
All Population,Deaths,United States of America,Female,50-54 years,Skin and subcutaneous diseases,Rate,2023,1.3116215693092144,1.5326648452814142,1.1033379561073144
All Population,Deaths,United States of America,Both,50-54 years,Skin and subcutaneous diseases,Rate,2023,1.534266010366042,1.7460794894556524,1.3348507298718866
All Population,Deaths,United States of America,Male,55-59 years,Skin and subcutaneous diseases,Rate,2023,2.595679057381627,2.96836573791739,2.2203184307693298
All Population,Deaths,United States of America,Female,55-59 years,Skin and subcutaneous diseases,Rate,2023,2.184550767658581,2.5479818090099013,1.818439140248999
All Population,Deaths,United States of America,Both,55-59 years,Skin and subcutaneous diseases,Rate,2023,2.3879807138020244,2.6848091513315273,2.1162925161931057
All Population,Deaths,United States of America,Male,60-64 years,Skin and subcutaneous diseases,Rate,2023,3.8643285462267425,4.357261888285774,3.4206308391764937
All Population,Deaths,United States of America,Female,60-64 years,Skin and subcutaneous diseases,Rate,2023,3.25612412348617,3.763342853475196,2.728368762842802
All Population,Deaths,United States of America,Both,60-64 years,Skin and subcutaneous diseases,Rate,2023,3.552860957633333,3.939804156138381,3.1792589172132737
All Population,Deaths,United States of America,Male,65-69 years,Skin and subcutaneous diseases,Rate,2023,5.2921494213625735,6.036397016721017,4.649383094184916
All Population,Deaths,United States of America,Female,65-69 years,Skin and subcutaneous diseases,Rate,2023,4.428579099705855,5.093112788386317,3.764202496552187
All Population,Deaths,United States of America,Both,65-69 years,Skin and subcutaneous diseases,Rate,2023,4.840674536681149,5.3628700624254915,4.3818537554136014
All Population,Deaths,United States of America,Male,70-74 years,Skin and subcutaneous diseases,Rate,2023,7.731809632547831,8.955400271093218,6.712725268232722
All Population,Deaths,United States of America,Female,70-74 years,Skin and subcutaneous diseases,Rate,2023,6.756601962961643,7.909680191641443,5.709276049096642
All Population,Deaths,United States of America,Both,70-74 years,Skin and subcutaneous diseases,Rate,2023,7.2100506604942005,8.101406129779033,6.444306058527709
