population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Incidence,United States of America,Both,90-94 years,Diabetes and kidney diseases,Rate,2023,1312.21031533248,1699.19239557557,938.3180788436101
All Population,Incidence,United States of America,Both,2-4 years,Diabetes and kidney diseases,Rate,2023,45.15960215274,99.93652586432,16.59127825453
All Population,Incidence,United States of America,Both,95+ years,Diabetes and kidney diseases,Rate,2023,1131.78245649782,1632.172252751,761.23212654002
All Population,Incidence,United States of America,Both,<5 years,Neoplasms,Rate,2023,804.5571251516001,1024.1973259644099,637.35250172097
All Population,Incidence,United States of America,Both,5-9 years,Neoplasms,Rate,2023,541.85356987753,748.9372372254701,379.34533114229
All Population,Incidence,United States of America,Both,10-14 years,Neoplasms,Rate,2023,506.79560180031996,700.87760994472,333.42138013177
All Population,Incidence,United States of America,Both,15-19 years,Neoplasms,Rate,2023,694.06564795917,980.58793851338,467.16127397385
All Population,Incidence,United States of America,Both,20-24 years,Neoplasms,Rate,2023,986.95177962176,1334.39871941697,720.50455235068
All Population,Incidence,United States of America,Both,25-29 years,Neoplasms,Rate,2023,1389.90762366663,2042.6298585392199,951.6107981539601
All Population,Incidence,United States of America,Both,30-34 years,Neoplasms,Rate,2023,1925.02368731968,2630.61112466491,1414.92110107135
All Population,Incidence,United States of America,Both,35-39 years,Neoplasms,Rate,2023,2561.67028288947,3498.13196572352,1757.5379371148101
All Population,Incidence,United States of America,Both,40-44 years,Neoplasms,Rate,2023,3295.7788180561297,4169.63966525435,2456.4162783275797
All Population,Incidence,United States of America,Both,45-49 years,Neoplasms,Rate,2023,4123.37868157638,5543.54262711447,2963.8352051657603
All Population,Incidence,United States of America,Both,50-54 years,Neoplasms,Rate,2023,5373.76287636336,6679.45986602922,4281.03048926221
All Population,Incidence,United States of America,Both,55-59 years,Neoplasms,Rate,2023,7053.57822877096,8778.79851553741,5489.95223266628
All Population,Incidence,United States of America,Both,60-64 years,Neoplasms,Rate,2023,9208.97000994369,11082.37112148765,7539.925424260489
All Population,Incidence,United States of America,Both,65-69 years,Neoplasms,Rate,2023,11650.05616751856,14659.340219952299,9516.56483228121
