Disease_A	label_A	Disease_B	label_B	OR	freq_comorb	freq_A	freq_B
D93	Irritable bowel syndrome	D94	Chronic enteritis/ulcerative colitis	2.376	954	50481	24225
D93	Irritable bowel syndrome	D98	Cholecystitis/cholelithiasis	1.54	5478	45957	223192
D93	Irritable bowel syndrome	D99	Disease digestive system, other	2.818	1108	50327	25383
D93	Irritable bowel syndrome	D99.01	Coeliac disease	3.067	546	50889	8680
D93	Irritable bowel syndrome	H84	Presbyacusis	1.601	246	51189	10637
K88	Postural hypotension	D93	Irritable bowel syndrome	1.851	357	51078	10778
D93	Irritable bowel syndrome	L84	Back syndrome without radiating pain	1.561	672	50763	24464
D93	Irritable bowel syndrome	L95	Osteoporosis	1.587	6868	44567	266384
D93	Irritable bowel syndrome	L99	Musculoskeletal disease, other	1.69	2666	48769	92601
D93	Irritable bowel syndrome	N85	Congenital anomaly neurological	1.695	115	51320	3624
D93	Irritable bowel syndrome	N92	Trigeminal neuralgia	1.682	459	50976	15555
D93	Irritable bowel syndrome	P73	Affective psychosis	1.701	7905	43530	265835
D93	Irritable bowel syndrome	P74	Anxiety disorder/anxiety state	1.691	19789	31646	749040
P75	Somatization disorder	D93	Irritable bowel syndrome	3.909	1150	50285	16475
D93	Irritable bowel syndrome	P76	Depressive disorder	1.675	13617	37818	505470
D93	Irritable bowel syndrome	P78	Neuraesthenia/surmenage	4.554	212	51223	2283
D93	Irritable bowel syndrome	P79.01	obsesive compulsive disorder	2.106	423	51012	11353
D93	Irritable bowel syndrome	P79.02	Phobia	1.807	1021	50414	29461
D93	Irritable bowel syndrome	P80	Personality disorder	1.663	962	50473	33810
D93	Irritable bowel syndrome	P86	Anorexia nervosa/bulimia	1.551	383	51052	10085
D93	Irritable bowel syndrome	T80	Congenital anomaly endocrine/metab.	1.579	440	50995	17110
D93	Irritable bowel syndrome	U99	Urinary disease, other	1.532	524	50911	23812
D93	Irritable bowel syndrome	YX99	Genital disease, other	1.55	746	50689	20205
D94	Chronic enteritis/ulcerative colitis	D99	Disease digestive system, other	2.797	548	24631	25943
D94	Chronic enteritis/ulcerative colitis	D99.01	Coeliac disease	2.543	199	24980	9027
D94	Chronic enteritis/ulcerative colitis	L84	Back syndrome without radiating pain	2.084	404	24775	24732
D94	Chronic enteritis/ulcerative colitis	L88	Rheumatoid/seropositive arthritis	1.99	484	24695	32981
D94	Chronic enteritis/ulcerative colitis	L88.01	Ankylosing spondylitis	5.521	292	24887	6231
D94	Chronic enteritis/ulcerative colitis	L95	Osteoporosis	1.525	2464	22715	270788
D97	Liver disease not otherwise specified	D98	Cholecystitis/cholelithiasis	2.945	34285	173317	194385
D97	Liver disease not otherwise specified	D99	Disease digestive system, other	2.209	3564	204038	22927
D97	Liver disease not otherwise specified	K82	Pulmonary heart disease	1.801	1621	205981	13835
D97	Liver disease not otherwise specified	K87	Hypertension complicated	1.545	6842	200760	60091
D97	Liver disease not otherwise specified	N94	Peripheral neuritis/neuropathy	1.708	9836	197766	75463
D97	Liver disease not otherwise specified	N99	Neurological disease, other	2.434	2663	204939	15595
D97	Liver disease not otherwise specified	P15	Chronic alcohol abuse	3.366	29916	177686	119003
D97	Liver disease not otherwise specified	P19	Drug abuse	1.556	644	206958	6254
D97	Liver disease not otherwise specified	T80	Congenital anomaly endocrine/metab.	1.545	1760	205842	15790
D97	Liver disease not otherwise specified	T83/82	Overweight/Obesity	1.792	87275	120327	808822
D97	Liver disease not otherwise specified	T90	Diabetes non-insulin dependent	1.89	58991	148611	480739
D97	Liver disease not otherwise specified	T92	Gout	1.508	13863	193739	106553
D97	Liver disease not otherwise specified	T99	Endocrine/metabolic/nutrition disease, other	1.577	33048	174554	303963
D98	Cholecystitis/cholelithiasis	D99	Disease digestive system, other	2.73	4972	223698	21519
D98	Cholecystitis/cholelithiasis	K82	Pulmonary heart disease	1.568	2207	226463	13249
D98	Cholecystitis/cholelithiasis	K94.01	Phlebitis/thrombophlebitis low limb superficial	1.523	146	228524	999
N18	Paralysis/weakness	D98	Cholecystitis/cholelithiasis	1.519	392	228278	3560
D98	Cholecystitis/cholelithiasis	T83/82	Overweight/Obesity	1.55	87976	140694	808121
D98	Cholecystitis/cholelithiasis	U75	Malignant neoplasm of kidney	1.612	1530	227140	10967
D99	Disease digestive system, other	D99.01	Coeliac disease	6.003	357	26134	8869
D99	Disease digestive system, other	F83	Retinopathy	1.7	1075	25416	63436
D99	Disease digestive system, other	K74	Ischaemic heart disease with angina	1.631	1130	25361	65739
D99	Disease digestive system, other	K76	Ischaemic heart disease without angina	1.534	1969	24522	122037
D99	Disease digestive system, other	K77	Heart failure	1.615	2206	24285	126087
D99	Disease digestive system, other	K82	Pulmonary heart disease	1.815	307	26184	15149
D99	Disease digestive system, other	K83	Heart valve disease not otherwise specified	1.548	1926	24565	119881
D99	Disease digestive system, other	K91	Cerebrovascular disease	1.667	774	25717	43166
D99	Disease digestive system, other	K92	Atherosclerosis/PVD	2.1	2557	23934	125492
D99	Disease digestive system, other	K94	Phlebitis/thrombophlebitis	1.527	1204	25287	81776
D99	Disease digestive system, other	K94.02	Phlebitis/thrombophlebitis low limb deep	1.575	258	26233	16539
D99	Disease digestive system, other	N94	Peripheral neuritis/neuropathy	1.976	1461	25030	83838
D99	Disease digestive system, other	N99	Neurological disease, other	1.879	327	26164	17931
D99	Disease digestive system, other	P15	Chronic alcohol abuse	2.481	2664	23827	146255
D99	Disease digestive system, other	P19	Drug abuse	1.743	74	26417	6824
P75	Somatization disorder	D99	Disease digestive system, other	1.678	226	26265	17399
D99	Disease digestive system, other	P78	Neuraesthenia/surmenage	2.734	48	26443	2447
D99	Disease digestive system, other	P86	Anorexia nervosa/bulimia	1.889	115	26376	10353
D99	Disease digestive system, other	R85	Malignant neoplasm respiratory, other	1.691	165	26326	9553
D99	Disease digestive system, other	R95	Chronic obstructive pulmonary disease	1.69	3389	23102	204883
D99	Disease digestive system, other	R99	Respiratory disease other	1.585	1677	24814	111068
D99	Disease digestive system, other	T89	Diabetes insulin dependent	2.939	470	26021	20577
D99	Disease digestive system, other	T90	Diabetes non-insulin dependent	1.587	7483	19008	532247
D99	Disease digestive system, other	T99	Endocrine/metabolic/nutrition disease, other	1.53	4345	22146	332666
D99	Disease digestive system, other	U75	Malignant neoplasm of kidney	1.585	198	26293	12299
D99	Disease digestive system, other	U88	Glomerulonephritis/nephrosis	1.61	461	26030	28164
D99	Disease digestive system, other	U99	Urinary disease, other	1.594	367	26124	23969
D99	Disease digestive system, other	U99.01	Chronic renal failure	1.62	4383	22108	265733
D99.01	Coeliac disease	L95	Osteoporosis	1.916	947	8279	272305
D99.01	Coeliac disease	L99	Musculoskeletal disease, other	1.645	437	8789	94830
D99.01	Coeliac disease	P78	Neuraesthenia/surmenage	2.869	31	9195	2464
D99.01	Coeliac disease	S99	Skin disease, other	2.228	300	8926	40293
D99.01	Coeliac disease	T89	Diabetes insulin dependent	3.086	197	9029	20850
D99.01	Coeliac disease	T99	Endocrine/metabolic/nutrition disease, other	1.935	1585	7641	335426
F83	Retinopathy	F84	Macular degeneration	2.32	2058	62453	28772
F83	Retinopathy	F92	Cataract	1.997	19559	44952	382971
F83	Retinopathy	F93	Glaucoma	1.829	9033	55478	184578
F94	Blindness	F83	Retinopathy	2.307	715	63796	12823
F83	Retinopathy	K74	Ischaemic heart disease with angina	1.996	3840	60671	63029
F83	Retinopathy	K75	Acute myocardial infarction	2.183	4973	59538	76571
F83	Retinopathy	K76	Ischaemic heart disease without angina	2.459	8311	56200	115695
F83	Retinopathy	K77	Heart failure	2.173	7383	57128	120910
F83	Retinopathy	K82	Pulmonary heart disease	1.79	824	63687	14632
F83	Retinopathy	K84	Heart disease other	1.901	10726	53785	208057
F83	Retinopathy	K86	Hypertension uncomplicated	3.352	50867	13644	1310080
F83	Retinopathy	K87	Hypertension complicated	2.188	4064	60447	62869
F83	Retinopathy	K89	Transient cerebral ischaemia	1.567	2895	61616	61053
F83	Retinopathy	K90	Stroke/cerebrovascular accident	2.031	8225	56286	141344
F83	Retinopathy	K91	Cerebrovascular disease	1.879	2414	62097	41526
F83	Retinopathy	K92	Atherosclerosis/PVD	3.212	10006	54505	118043
F83	Retinopathy	N93	Carpal tunnel syndrome	1.53	5607	58904	200874
F83	Retinopathy	N94	Peripheral neuritis/neuropathy	5.704	9162	55349	76137
F83	Retinopathy	T83/82	Overweight/Obesity	2.003	29473	35038	866624
F83	Retinopathy	T89	Diabetes insulin dependent	25.336	5432	59079	15615
F83	Retinopathy	T90	Diabetes non-insulin dependent	23.829	54221	10290	485509
F83	Retinopathy	U88	Glomerulonephritis/nephrosis	5.951	3921	60590	24704
F83	Retinopathy	U99.01	Chronic renal failure	2.695	16835	47676	253281
F84	Macular degeneration	F92	Cataract	2.199	12829	18001	389701
F84	Macular degeneration	F93	Glaucoma	1.687	4980	25850	188631
F94	Blindness	F84	Macular degeneration	3.024	533	30297	13005
F84	Macular degeneration	H84	Presbyacusis	1.786	364	30466	10519
F84	Macular degeneration	H86	Deafness	1.627	6355	24475	320968
F84	Macular degeneration	L84	Back syndrome without radiating pain	1.639	435	30395	24701
S77	Malignant neoplasm of skin	F84	Macular degeneration	1.503	2663	28167	105957
F92	Cataract	F93	Glaucoma	1.899	59012	343518	134599
F92	Cataract	H82	Vertiginous syndrome	1.5	62261	340269	262093
F92	Cataract	H84	Presbyacusis	1.809	3763	398767	7120
F92	Cataract	H86	Deafness	1.652	74010	328520	253313
K88	Postural hypotension	F92	Cataract	1.587	2081	400449	9054
F92	Cataract	L84	Back syndrome without radiating pain	1.541	4778	397752	20358
F92	Cataract	L89	Osteoarthrosis of hip	1.549	34903	367627	89025
F92	Cataract	L90	Osteoarthrosis of knee	1.635	95621	306909	244253
F92	Cataract	L92	Shoulder syndrome	1.56	90328	312202	419783
F92	Cataract	N94	Peripheral neuritis/neuropathy	1.565	17256	385274	68043
F92	Cataract	S86	Dermatitis seborrhoeic	1.542	26249	376281	128169
F94	Blindness	F93	Glaucoma	2.384	2155	191456	11383
F93	Glaucoma	T89	Diabetes insulin dependent	1.912	1871	191740	19176
F93	Glaucoma	T90	Diabetes non-insulin dependent	1.506	59116	134495	480614
F94	Blindness	H86	Deafness	1.713	2468	11070	324855
F94	Blindness	K88	Postural hypotension	1.678	82	13456	11053
F94	Blindness	K89	Transient cerebral ischaemia	1.505	547	12991	63401
F94	Blindness	N99	Neurological disease, other	1.592	142	13396	18116
F94	Blindness	P71	Organic psychosis other	1.618	769	12769	82819
F94	Blindness	P80	Personality disorder	1.603	199	13339	34573
F94	Blindness	P85	Mental retardation	3.377	145	13393	12418
F94	Blindness	P98	Psychosis not otherwise specified/other	1.634	130	13408	19992
F94	Blindness	S86	Dermatitis seborrhoeic	1.522	966	12572	153452
F94	Blindness	T89	Diabetes insulin dependent	1.856	152	13386	20895
H82	Vertiginous syndrome	H84	Presbyacusis	1.923	2192	322162	8691
H82	Vertiginous syndrome	H86	Deafness	1.701	52253	272101	275070
K88	Postural hypotension	H82	Vertiginous syndrome	2.328	2356	321998	8779
H82	Vertiginous syndrome	K94.01	Phlebitis/thrombophlebitis low limb superficial	1.995	244	324110	901
H82	Vertiginous syndrome	L83	Neck syndrome	1.832	21993	302361	107271
H82	Vertiginous syndrome	L84	Back syndrome without radiating pain	2.023	5018	319336	20118
H82	Vertiginous syndrome	L86	Back syndrome with radiating pain	1.502	68680	255674	420241
H82	Vertiginous syndrome	L86/84/83	Neck/Back syndrome	1.538	65145	259209	368176
H82	Vertiginous syndrome	L92	Shoulder syndrome	1.679	80623	243731	429488
H82	Vertiginous syndrome	L93	Tennis elbow	1.545	20222	304132	122102
H82	Vertiginous syndrome	N89	Migraine	1.544	25565	298789	150709
H82	Vertiginous syndrome	N92	Trigeminal neuralgia	1.53	2636	321718	13378
H82	Vertiginous syndrome	P74	Anxiety disorder/anxiety state	1.582	103594	220760	665235
P75	Somatization disorder	H82	Vertiginous syndrome	1.806	2993	321361	14632
H82	Vertiginous syndrome	P78	Neuraesthenia/surmenage	1.653	426	323928	2069
H82	Vertiginous syndrome	P79.02	Phobia	1.648	4578	319776	25904
H84	Presbyacusis	H86	Deafness	2.319	2860	8023	324463
H84	Presbyacusis	K81	Heart/arterial murmur not otherwise specified	1.503	302	10581	46503
K88	Postural hypotension	H84	Presbyacusis	2.006	81	10802	11054
H84	Presbyacusis	K95	Varicose veins of leg	1.545	2457	8426	416057
H84	Presbyacusis	L84	Back syndrome without radiating pain	1.846	169	10714	24967
H84	Presbyacusis	L86/84/83	Neck/Back syndrome	1.581	2423	8460	430898
H84	Presbyacusis	L89	Osteoarthrosis of hip	1.565	1037	9846	122891
H84	Presbyacusis	L90	Osteoarthrosis of knee	1.615	2725	8158	337149
H84	Presbyacusis	L91	Osteoarthrosis other	1.584	3307	7576	476911
H84	Presbyacusis	L92	Shoulder syndrome	1.671	2730	8153	507381
H84	Presbyacusis	L95	Osteoporosis	1.544	2156	8727	271096
H84	Presbyacusis	N93	Carpal tunnel syndrome	1.548	927	9956	205554
H84	Presbyacusis	P71	Organic psychosis other	1.646	852	10031	82736
P75	Somatization disorder	H84	Presbyacusis	1.756	82	10801	17543
H84	Presbyacusis	S86	Dermatitis seborrhoeic	1.585	810	10073	153608
H84	Presbyacusis	Y85	Benign prostatic hypertrophy	1.743	2318	8565	302887
H86	Deafness	L84	Back syndrome without radiating pain	1.5	3766	323557	21370
H86	Deafness	L92	Shoulder syndrome	1.52	72660	254663	437451
N75	Benign neoplasm nervous system	H86	Deafness	1.629	2668	324655	13299
H86	Deafness	P71	Organic psychosis other	1.606	16331	310992	67257
H86	Deafness	P85	Mental retardation	1.501	1548	325775	11015
K71	Rheumatic fever/heart disease	K73	Congenital anomaly cardiovascular	6.76	251	21830	7226
K71	Rheumatic fever/heart disease	K74	Ischaemic heart disease with angina	1.708	1182	20899	65687
K71	Rheumatic fever/heart disease	K75	Acute myocardial infarction	1.626	1208	20873	80336
K71	Rheumatic fever/heart disease	K76	Ischaemic heart disease without angina	2.046	2465	19616	121541
K71	Rheumatic fever/heart disease	K77	Heart failure	6.285	6620	15461	121673
K71	Rheumatic fever/heart disease	K78	Atrial fibrillation/flutter	8.611	10463	11618	205109
K71	Rheumatic fever/heart disease	K79	Paroxysmal tachycardia	2.395	630	21451	30684
K71	Rheumatic fever/heart disease	K80	Cardiac arrhythmia not otherwise specified	1.9	1516	20565	79831
K71	Rheumatic fever/heart disease	K81	Heart/arterial murmur not otherwise specified	2.326	941	21140	45864
K71	Rheumatic fever/heart disease	K82	Pulmonary heart disease	10.094	1608	20473	13848
K71	Rheumatic fever/heart disease	K83	Heart valve disease not otherwise specified	13.935	9629	12452	112178
K71	Rheumatic fever/heart disease	K84	Heart disease other	2.162	4156	17925	214627
K71	Rheumatic fever/heart disease	K87	Hypertension complicated	2.382	1627	20454	65306
K71	Rheumatic fever/heart disease	K89	Transient cerebral ischaemia	1.708	1260	20821	62688
K71	Rheumatic fever/heart disease	K90	Stroke/cerebrovascular accident	2.022	3214	18867	146355
K71	Rheumatic fever/heart disease	K91	Cerebrovascular disease	1.569	762	21319	43178
K71	Rheumatic fever/heart disease	K92	Atherosclerosis/PVD	1.514	1796	20285	126253
K71	Rheumatic fever/heart disease	N88	Epilepsy	1.749	597	21484	49315
K71	Rheumatic fever/heart disease	T92	Gout	1.698	1543	20538	118873
K71	Rheumatic fever/heart disease	U99.01	Chronic renal failure	1.789	5296	16785	264820
K73	Congenital anomaly cardiovascular	K76	Ischaemic heart disease without angina	1.527	312	7165	123694
K73	Congenital anomaly cardiovascular	K77	Heart failure	3.909	572	6905	127721
K73	Congenital anomaly cardiovascular	K78	Atrial fibrillation/flutter	4.429	1057	6420	214515
K73	Congenital anomaly cardiovascular	K79	Paroxysmal tachycardia	3.243	213	7264	31101
K73	Congenital anomaly cardiovascular	K80	Cardiac arrhythmia not otherwise specified	2.387	352	7125	80995
K73	Congenital anomaly cardiovascular	K81	Heart/arterial murmur not otherwise specified	4.037	402	7075	46403
K73	Congenital anomaly cardiovascular	K82	Pulmonary heart disease	14.578	338	7139	15118
K73	Congenital anomaly cardiovascular	K83	Heart valve disease not otherwise specified	7.9	1265	6212	120542
K73	Congenital anomaly cardiovascular	K84	Heart disease other	3.049	1058	6419	217725
K73	Congenital anomaly cardiovascular	K87	Hypertension complicated	1.952	228	7249	66705
K73	Congenital anomaly cardiovascular	K89	Transient cerebral ischaemia	2.851	286	7191	63662
K73	Congenital anomaly cardiovascular	K90	Stroke/cerebrovascular accident	3.988	805	6672	148764
K73	Congenital anomaly cardiovascular	K91	Cerebrovascular disease	3.026	220	7257	43720
K73	Congenital anomaly cardiovascular	K92	Atherosclerosis/PVD	1.673	385	7092	127664
K93	Pulmonary embolism	K73	Congenital anomaly cardiovascular	2.183	88	7389	22052
K73	Congenital anomaly cardiovascular	K94	Phlebitis/thrombophlebitis	1.514	246	7231	82734
N18	Paralysis/weakness	K73	Congenital anomaly cardiovascular	3.128	30	7447	3922
K73	Congenital anomaly cardiovascular	N73	Neurological infection other	7.797	19	7458	997
K73	Congenital anomaly cardiovascular	N85	Congenital anomaly neurological	3.378	36	7441	3703
K73	Congenital anomaly cardiovascular	N88	Epilepsy	3.458	403	7074	49509
K73	Congenital anomaly cardiovascular	P85	Mental retardation	4.311	153	7324	12410
K73	Congenital anomaly cardiovascular	R99	Respiratory disease other	1.692	380	7097	112365
K74	Ischaemic heart disease with angina	K75	Acute myocardial infarction	5.429	11892	54977	69652
K74	Ischaemic heart disease with angina	K76	Ischaemic heart disease without angina	7.594	21142	45727	102864
K74	Ischaemic heart disease with angina	K77	Heart failure	2.554	10881	55988	117412
K74	Ischaemic heart disease with angina	K78	Atrial fibrillation/flutter	1.957	14163	52706	201409
K74	Ischaemic heart disease with angina	K79	Paroxysmal tachycardia	1.849	1389	65480	29925
K74	Ischaemic heart disease with angina	K82	Pulmonary heart disease	1.856	995	65874	14461
K74	Ischaemic heart disease with angina	K83	Heart valve disease not otherwise specified	2.134	7838	59031	113969
K74	Ischaemic heart disease with angina	K84	Heart disease other	1.654	11262	55607	207521
K74	Ischaemic heart disease with angina	K86	Hypertension uncomplicated	1.9	49403	17466	1311544
K74	Ischaemic heart disease with angina	K87	Hypertension complicated	1.871	4037	62832	62896
K88	Postural hypotension	K74	Ischaemic heart disease with angina	1.74	426	66443	10709
K74	Ischaemic heart disease with angina	K91	Cerebrovascular disease	1.568	2464	64405	41476
K74	Ischaemic heart disease with angina	K92	Atherosclerosis/PVD	2.059	8395	58474	119654
K74	Ischaemic heart disease with angina	N94	Peripheral neuritis/neuropathy	1.639	3330	63539	81969
K74	Ischaemic heart disease with angina	T89	Diabetes insulin dependent	1.747	629	66240	20418
K74	Ischaemic heart disease with angina	T90	Diabetes non-insulin dependent	1.894	25906	40963	513824
K74	Ischaemic heart disease with angina	T93	Lipid disorder	1.789	41372	25497	1258547
K74	Ischaemic heart disease with angina	U88	Glomerulonephritis/nephrosis	1.603	1392	65477	27233
K74	Ischaemic heart disease with angina	U99.01	Chronic renal failure	1.771	15650	51219	254466
K75	Acute myocardial infarction	K76	Ischaemic heart disease without angina	11.301	31070	50474	92936
K75	Acute myocardial infarction	K77	Heart failure	3.272	14041	67503	114252
K75	Acute myocardial infarction	K78	Atrial fibrillation/flutter	1.72	14840	66704	200732
K75	Acute myocardial infarction	K79	Paroxysmal tachycardia	1.586	1375	80169	29939
K75	Acute myocardial infarction	K82	Pulmonary heart disease	1.696	1006	80538	14450
K75	Acute myocardial infarction	K83	Heart valve disease not otherwise specified	1.748	7456	74088	114351
K75	Acute myocardial infarction	K86	Hypertension uncomplicated	1.506	54852	26692	1306095
K75	Acute myocardial infarction	K90	Stroke/cerebrovascular accident	1.574	9870	71674	139699
K75	Acute myocardial infarction	K91	Cerebrovascular disease	1.519	2838	78706	41102
K75	Acute myocardial infarction	K92	Atherosclerosis/PVD	2.353	11627	69917	116422
K75	Acute myocardial infarction	T89	Diabetes insulin dependent	2.393	1087	80457	19960
K75	Acute myocardial infarction	T90	Diabetes non-insulin dependent	2.066	32717	48827	507013
K75	Acute myocardial infarction	T93	Lipid disorder	1.728	48772	32772	1251147
K75	Acute myocardial infarction	U88	Glomerulonephritis/nephrosis	1.717	1738	79806	26887
K75	Acute myocardial infarction	U99.01	Chronic renal failure	1.932	18676	62868	251440
K76	Ischaemic heart disease without angina	K77	Heart failure	3.42	24003	100003	104290
K76	Ischaemic heart disease without angina	K78	Atrial fibrillation/flutter	2.024	27286	96720	188286
K76	Ischaemic heart disease without angina	K79	Paroxysmal tachycardia	1.691	2284	121722	29030
K76	Ischaemic heart disease without angina	K82	Pulmonary heart disease	2.169	2052	121954	13404
K76	Ischaemic heart disease without angina	K83	Heart valve disease not otherwise specified	2.257	14760	109246	107047
K76	Ischaemic heart disease without angina	K84	Heart disease other	1.671	21547	102459	197236
K76	Ischaemic heart disease without angina	K86	Hypertension uncomplicated	1.782	90557	33449	1270390
K76	Ischaemic heart disease without angina	K87	Hypertension complicated	1.74	6999	117007	59934
K88	Postural hypotension	K76	Ischaemic heart disease without angina	1.524	704	123302	10431
K76	Ischaemic heart disease without angina	K90	Stroke/cerebrovascular accident	1.564	15998	108008	133571
K76	Ischaemic heart disease without angina	K91	Cerebrovascular disease	1.847	5328	118678	38612
K76	Ischaemic heart disease without angina	K92	Atherosclerosis/PVD	2.464	18090	105916	109959
K76	Ischaemic heart disease without angina	N94	Peripheral neuritis/neuropathy	1.683	6197	117809	79102
K76	Ischaemic heart disease without angina	T89	Diabetes insulin dependent	2.439	1522	122484	19525
K76	Ischaemic heart disease without angina	T90	Diabetes non-insulin dependent	2.161	51749	72257	487981
K76	Ischaemic heart disease without angina	T93	Lipid disorder	1.808	75538	48468	1224381
K76	Ischaemic heart disease without angina	U88	Glomerulonephritis/nephrosis	1.893	2949	121057	25676
K76	Ischaemic heart disease without angina	U99.01	Chronic renal failure	1.964	31274	92732	238842
K77	Heart failure	K78	Atrial fibrillation/flutter	6.206	59369	68924	156203
K77	Heart failure	K79	Paroxysmal tachycardia	2.109	2977	125316	28337
K77	Heart failure	K80	Cardiac arrhythmia not otherwise specified	1.815	9583	118710	71764
K77	Heart failure	K82	Pulmonary heart disease	9.551	6355	121938	9101
K77	Heart failure	K83	Heart valve disease not otherwise specified	4.283	26334	101959	95473
K77	Heart failure	K84	Heart disease other	2.404	28664	99629	190119
K77	Heart failure	K86	Hypertension uncomplicated	1.774	100770	27523	1260177
K77	Heart failure	K87	Hypertension complicated	2.58	10319	117974	56614
K77	Heart failure	K90	Stroke/cerebrovascular accident	1.594	20048	108245	129521
K77	Heart failure	K92	Atherosclerosis/PVD	1.924	14906	113387	113143
K93	Pulmonary embolism	K77	Heart failure	2.037	3071	125222	19069
K77	Heart failure	K94	Phlebitis/thrombophlebitis	1.502	7453	120840	75527
K77	Heart failure	K94.01	Phlebitis/thrombophlebitis low limb superficial	1.682	103	128190	1042
K77	Heart failure	N94	Peripheral neuritis/neuropathy	1.644	5495	122798	79804
K77	Heart failure	R95	Chronic obstructive pulmonary disease	2.602	28651	99642	179621
K77	Heart failure	R96	Asthma	1.587	10150	118143	205521
K77	Heart failure	R99	Respiratory disease other	2.115	12083	116210	100662
K77	Heart failure	T83/82	Overweight/Obesity	1.677	46164	82129	849933
K77	Heart failure	T85	Hyperthyroidism/thyrotoxicosis	1.577	3730	124563	54284
K77	Heart failure	T89	Diabetes insulin dependent	2.117	1212	127081	19835
K77	Heart failure	T90	Diabetes non-insulin dependent	1.867	49847	78446	489883
K77	Heart failure	T92	Gout	1.922	11315	116978	109101
K77	Heart failure	T99	Endocrine/metabolic/nutrition disease, other	1.773	23965	104328	313046
K77	Heart failure	U88	Glomerulonephritis/nephrosis	1.727	2921	125372	25704
K77	Heart failure	U99.01	Chronic renal failure	2.561	45906	82387	224210
K78	Atrial fibrillation/flutter	K79	Paroxysmal tachycardia	3.985	7262	208310	24052
K78	Atrial fibrillation/flutter	K80	Cardiac arrhythmia not otherwise specified	2.504	18469	197103	62878
K78	Atrial fibrillation/flutter	K82	Pulmonary heart disease	8.088	7859	207713	7597
K78	Atrial fibrillation/flutter	K83	Heart valve disease not otherwise specified	4.165	38460	177112	83347
K78	Atrial fibrillation/flutter	K84	Heart disease other	1.748	37776	177796	181007
K78	Atrial fibrillation/flutter	K86	Hypertension uncomplicated	1.737	163281	52291	1197666
K78	Atrial fibrillation/flutter	K87	Hypertension complicated	2.397	15350	200222	51583
K78	Atrial fibrillation/flutter	K89	Transient cerebral ischaemia	1.619	12915	202657	51033
K78	Atrial fibrillation/flutter	K90	Stroke/cerebrovascular accident	2.177	36230	179342	113339
K78	Atrial fibrillation/flutter	K92	Atherosclerosis/PVD	1.583	21243	194329	106806
K93	Pulmonary embolism	K78	Atrial fibrillation/flutter	1.547	3821	211751	18319
K78	Atrial fibrillation/flutter	R95	Chronic obstructive pulmonary disease	1.569	35305	180267	172967
K78	Atrial fibrillation/flutter	T83/82	Overweight/Obesity	1.54	77129	138443	818968
K78	Atrial fibrillation/flutter	T85	Hyperthyroidism/thyrotoxicosis	2.188	7455	208117	50559
K78	Atrial fibrillation/flutter	T92	Gout	1.775	18914	196658	101502
K78	Atrial fibrillation/flutter	T99	Endocrine/metabolic/nutrition disease, other	1.541	36804	178768	300207
K78	Atrial fibrillation/flutter	U99.01	Chronic renal failure	1.881	58776	156796	211340
K79	Paroxysmal tachycardia	K80	Cardiac arrhythmia not otherwise specified	3.476	2891	28423	78456
K79	Paroxysmal tachycardia	K82	Pulmonary heart disease	2.356	446	30868	15010
K79	Paroxysmal tachycardia	K83	Heart valve disease not otherwise specified	2.388	3197	28117	118610
K79	Paroxysmal tachycardia	K84	Heart disease other	2.12	4662	26652	214121
K79	Paroxysmal tachycardia	K87	Hypertension complicated	1.788	1371	29943	65562
K88	Postural hypotension	K79	Paroxysmal tachycardia	1.857	205	31109	10930
P75	Somatization disorder	K79	Paroxysmal tachycardia	1.531	253	31061	17372
K79	Paroxysmal tachycardia	T85	Hyperthyroidism/thyrotoxicosis	1.79	1084	30230	56930
K80	Cardiac arrhythmia not otherwise specified	K82	Pulmonary heart disease	1.987	1217	80130	14239
K80	Cardiac arrhythmia not otherwise specified	K83	Heart valve disease not otherwise specified	2.217	9274	72073	112533
K80	Cardiac arrhythmia not otherwise specified	K84	Heart disease other	2.131	14965	66382	203818
K80	Cardiac arrhythmia not otherwise specified	K86	Hypertension uncomplicated	1.544	53737	27610	1307210
K80	Cardiac arrhythmia not otherwise specified	K87	Hypertension complicated	1.993	4769	76578	62164
K88	Postural hypotension	K80	Cardiac arrhythmia not otherwise specified	1.688	499	80848	10636
K81	Heart/arterial murmur not otherwise specified	K82	Pulmonary heart disease	1.844	546	46259	14910
K81	Heart/arterial murmur not otherwise specified	K83	Heart valve disease not otherwise specified	6.532	10151	36654	111656
K81	Heart/arterial murmur not otherwise specified	K84	Heart disease other	2.054	6669	40136	212114
K81	Heart/arterial murmur not otherwise specified	K86	Hypertension uncomplicated	1.575	26691	20114	1334256
K81	Heart/arterial murmur not otherwise specified	K87	Hypertension complicated	2.821	3030	43775	63903
K82	Pulmonary heart disease	K83	Heart valve disease not otherwise specified	11.044	6460	8996	115347
K82	Pulmonary heart disease	K84	Heart disease other	2.583	3695	11761	215088
K82	Pulmonary heart disease	K86	Hypertension uncomplicated	1.608	11337	4119	1349610
K82	Pulmonary heart disease	K87	Hypertension complicated	4.234	2058	13398	64875
K82	Pulmonary heart disease	K92	Atherosclerosis/PVD	1.893	1738	13718	126311
K93	Pulmonary embolism	K82	Pulmonary heart disease	5.051	859	14597	21281
K82	Pulmonary heart disease	K94	Phlebitis/thrombophlebitis	1.763	1027	14429	81953
