Disease_A	label_A	Disease_B	label_B	OR	freq_comorb	freq_A	freq_B
N85	Congenital anomaly neurological	N99	Neurological disease, other	13.738	218	3521	18040
N85	Congenital anomaly neurological	P85	Mental retardation	6.708	123	3616	12440
N85	Congenital anomaly neurological	U99	Urinary disease, other	5.203	115	3624	24221
N86	Multiple sclerosis	N88	Epilepsy	2.047	214	6720	49698
N86	Multiple sclerosis	N92	Trigeminal neuralgia	8.092	263	6671	15751
N86	Multiple sclerosis	N94	Peripheral neuritis/neuropathy	1.608	264	6670	85035
N86	Multiple sclerosis	N99	Neurological disease, other	3.677	109	6825	18149
N86	Multiple sclerosis	U99	Urinary disease, other	3.08	121	6813	24215
N87	Parkinsonism	N88	Epilepsy	1.865	1261	40844	48651
N87	Parkinsonism	N99	Neurological disease, other	4	1314	40791	16944
N87	Parkinsonism	P70	Dementia	2.759	11190	30915	138513
N87	Parkinsonism	P71	Organic psychosis other	1.941	4343	37762	79245
N87	Parkinsonism	P72	Schizophrenia	3.793	970	41135	29476
N87	Parkinsonism	P73	Affective psychosis	1.838	4798	37307	268942
N87	Parkinsonism	P76	Depressive disorder	2.112	11858	30247	507229
N87	Parkinsonism	P79.01	obsesive compulsive disorder	2.718	188	41917	11588
N87	Parkinsonism	P80	Personality disorder	2.398	568	41537	34204
N87	Parkinsonism	P85	Mental retardation	2.957	215	41890	12348
N87	Parkinsonism	P98	Psychosis not otherwise specified/other	3.698	707	41398	19415
N88	Epilepsy	N99	Neurological disease, other	5.266	1434	48478	16824
N88	Epilepsy	P19	Drug abuse	1.807	228	49684	6670
N88	Epilepsy	P70	Dementia	2.467	4870	45042	144833
N88	Epilepsy	P71	Organic psychosis other	2.26	2839	47073	80749
N88	Epilepsy	P72	Schizophrenia	2.175	1073	48839	29373
P75	Somatization disorder	N88	Epilepsy	1.505	419	49493	17206
N88	Epilepsy	P79.01	obsesive compulsive disorder	1.621	318	49594	11458
N88	Epilepsy	P80	Personality disorder	2.47	1385	48527	33387
N88	Epilepsy	P85	Mental retardation	16.942	2665	47247	9898
N88	Epilepsy	P98	Psychosis not otherwise specified/other	2.835	920	48992	19202
N89	Migraine	N90	Cluster headache	8.07	904	175370	1993
N89	Migraine	N92	Trigeminal neuralgia	1.716	1443	174831	14571
N89	Migraine	P78	Neuraesthenia/surmenage	1.726	349	175925	2146
N90	Cluster headache	N92	Trigeminal neuralgia	9.738	103	2794	15911
N90	Cluster headache	N94	Peripheral neuritis/neuropathy	1.578	111	2786	85188
N90	Cluster headache	P82	Post-traumatic stress disorder	3.64	17	2880	5372
N92	Trigeminal neuralgia	N94	Peripheral neuritis/neuropathy	1.941	833	15181	84466
P75	Somatization disorder	N92	Trigeminal neuralgia	1.705	151	15863	17474
N93	Carpal tunnel syndrome	N94	Peripheral neuritis/neuropathy	2.549	12228	194253	73071
N93	Carpal tunnel syndrome	T83/82	Overweight/Obesity	1.588	81886	124595	814211
